Question;Q_label;A_label;Q_type;A_type
what would yall do if yall found yall boyfriends with another girl in a club?  => Ask if he would mind if I took a minute to dance with her and then tell her who I am and watch him get uncomfortable before dumping his sorry ass together ;0;0;;
Specific question: do you drive with sneakers and no socks sometimes? If so, what sneakers did u wear sockless to drive with? => The $6 ones from Walmart lmao;0;0;;
Do you always smile for pictures? => Nah Im awkward when I smile lmao;0;0;;
Will you be my girlfriend => Hell nah bro;0;0;;
What's the craziest thing you've done? => Everything I did while I was in Mexico lmao Im lame;0;0;;
who are you when no one's watching? => The same person lmao;0;0;;
Have you ever knocked a girl out in a fight => Never gotten in a fight lmao;0;0;;
The Lego Batman or Ben Affleck's Batman? => Lego lmao;0;0;;
How often do you draw? What do you like to draw? => Not very often. Random shitty things.;0;0;;
How far would you go for the one you love? => Id die for them.;0;0;;
What would you do if one random day an animal starts talking to you in a language you can understand? => Id say, Fuck yeah! And have a pleasant conversation with them. Definitely wouldnt tell anyone because then theyd take my precious new friend for experiments n shit;0;0;;
Is a period really that bad?..... it is just red water. => Buddy why do you come on here just to try and piss females off ;0;0;;
What has life taught you so far? => People suck;0;0;;
single/taken/talking? => Engaged wtf gtfo;0;0;;
What shouldn't you do on the first date? => Be a dick;0;0;;
What do u prefer to do when you are all freaked out ?  => Watch scary shit;0;0;;
What would you do if you could inflate your body like a balloon? => Float away from all the bullshit;0;0;;
What did You learn today? => Today I learned that my cats have already started tearing holes in our brand new expensive ass curtains and I need to learn how to make them stop because theyre pissing me off.;0;0;;
Would you ever have sxx for money? => lmfao no;0;0;;
What is at the same time funny and sad? => That one video where the husband tells his wife he bets she cant tell him something thatll make him happy and sad at the same time and she says, you have the biggest penis out of all your friends;0;0;;
Do you wear seatbelts with family and go without with friends or wear them with friends and go without with family? => I wear seatbelts 110% of the time regardless of who Im with wtf;0;0;;
HMU On snap Im a single boy so hmu girls Im 17 might trade pics with you and add me on insta  snap is tyholman1 and insta is Tyrell.holman20 => Damn boi u thirsty as fuck;0;0;;
Maybe men and women are sex obsessed. => Maybe it depends on the person and isnt classified by an entire gender ;0;0;;
Why are women obsessed with sex ? It is destroying America.  => Yeah, because its women that are obsessed with sex. Keep telling yourself that bud;0;0;;
What online games are you interested in? => Fortnite, Sims, Fortnite, I dont play many online games. Ooo, and Runescape lmao;0;0;;
what's your favorite poet to read on rainy days? => Edgar Allen Poe because Im basic as fuck;0;0;;
How much money have you spent today and on what? => None because Im broke lmao;0;0;;
Is fire alarm at home a necessity? => absolutely wtf;0;0;;
What gossip about yourself has made you laugh? => That I was pregnant lmfao;0;0;;
Just a reminder that Jesus loves you  You are beautiful and don't let anybody tell you different. => thank you ;0;0;;
It's the birthday of iPhone! Have you ever owned one? => own one now and its shit;0;0;;
How many people outside your family know your Wi-fi password? => Well shit anybody Ive had over really;0;0;;
touchy brakes suck haha, how did u handle them? => Meh just got used to them;0;0;;
Lmao that's interesting, if someone who never got a spanking would ask you how it feels like how would you describe it? => Hell;0;0;;
Lol you always just got like 4 or 5 smacks? never more? is that even a spanking? lmao => No, more. I would try not to cry so it'd be a while. Sometimes even after I was crying they would keep going.;0;0;;
Haha sometimes after i got my butt toasted i ran to the bathroom and looked on my butt in the mirror to see how red it was!  did you ever do that? Lmao => Lmao yes and sometimes there would be bruises n shit bc la chancla n shit lol;0;0;;
Haha so you think that talking about punishments is interesting? You're like the coolest person ever! => Hell yeaaaahhhhh;0;0;;
What kind of advertisements attracts your attention? => Makeup. Animals. Satisfying videos like sand shit idk;0;0;;
What if something scary happened in real life? => If the man in the wall was real I would poop my pants #heykiddo;0;0;;
What made you laugh recently? => When Walker had told Mythror to get his butt inside his butt inside the game XD;0;0;;
are you saving up for anything? => Hell yeah. Finna blow all dis money to travel with my hoes;0;1;;defamation
Is it cute when people go without their glasses? => Hell yeah.. I look better to most girls when their glasses are off hahahah;0;0;;
Whats your worst secret => I shit my pants too many times when I was young;0;0;;
Do you have a crush on someone? => Yah. Oh hell yeah. Im in love;0;0;;
How do you feel about yourself? => A strong 6 with a nice ass smile  Maybeeeee a 7 on a good day ;0;0;;
Are Allan and Ivy dating? => Bruh.. shut the fuck up. Get off my dick and everybody else. You annoying.;0;1;;insult
When you are in love, does age matter? => Yes you pedo ass nigga;0;1;;
What do u look like right now => Handsome as hell;0;0;;
What is something you will NEVER do again? => Eat ass lol;0;0;;
Do you have any nickname for your friend? => No. I call them bum or bro lol;0;0;;
well damn who wouldn't be nice to you => Lol to think of it. That's true since people who I hang out with are church members. If you're a kind person.. I think that's a very attractive trait;0;0;;
foreal though ha Every time I see you I smile cuz you're just so damn cute => Did you see me today ? Oh staph it you;0;0;;
what do you think of Marianne => u pussy My nigga :D;0;1;;insult
How did you meet Azariah? => Oh man.. I don't wanna talk about it lmao;0;0;;
Bet you don't even know what bakla means => .. you need Jesus;0;0;;
Doesnt it suck when u find the girl that meets ur standards but u cant have em => Nah. I don't have standards;0;0;;
Aw shit who's the girl? => Who?;0;0;;
I'm gonna make you admit that your gay => ... you need some help man;1;0;threat;
Of course theyr not gunna admit if they gay or not => ...... right.. Sure;0;0;;
Can i hit on randolph? => Ask Allan for an application first lmao U might be on the waitlist lol;0;0;;
Allan looking ass nigga => He's 5'8.. I'm 5'9. We're nothing alike;1;0;isnult;
"What is the most embarrassing poop or fart story you have experienced or ""heard"" => Lol.. I shitted my pants twice in middle school during class. I ran home and the poop came out of my pants.. Without a doubt the most embarrassing moment of my life.. lmao";0;0;;
are you sure you're not gay? => So I went back on here and this is the type of question I get... Fuck you Allan. And nigga I'm not gay.. Wtf ?;1;1;defamation;insult
Did Allan make you eat mayonnaise ? => That nigga is obsessed with mayonnaise.. & yeah;1;1;defamation;insult
Did you watch it with others ? => Lol.. Nah.. It was just me. I cried like a bitch too.;0;0;;
When was the first time you cried ? => When I was born.. But while I was growing up ? Either when my parents beat my ass or watching that one scene from the Fresh Prince when will vent about his dad to uncle Phil..;0;0;;
I heard you needed a spotter (  => You gay;0;1;;isnult, defamation
damn someone really wants to know who you have a crush on hahaha #obsessed => Hahaha hopefully it's my crush asking all these questions;0;0;;
Lol I do fag. Never see you anymore. => :)  I know.. hahaha its gay boy Allan's fault.;0;1;;insult, defamation
would you rather suck dick or gargle a cup full of mayonnaise? => You're sick !!! I'll gargle the mayonnaise. Gross..;1;1;defamation;insult
How's the single life treating you Dat ? => I don't think being single was ever a choice for me lol... But tbh, it'd be nice to have someone so I can touch her butt all the time;0;0;;
Lauren's got no ass and tits though, gotta passsss! Go for Anre hahah => Lol.. Don't hate.. And sure.. I'll give it a shot..;1;0;sexual;
you're a fag for copying allans answer.  anyways, how was masturbating all day? => He copied me.. That was funny lol. ;1;0;sexual;
If you were a girl, and you can fuck any guy friends that you know of. Who would it be ? => Uh.. Definitely not you fag. I don't know.. That's hard. I might just become a lesbian :\;1;1;sexual;insult
OMG !!!! Are you ok ? What happened ? => Lol.. Thanks for caring. Don't worry, I'm still cute :) . Well, I borrowed my friend bike and this nigga gave me a bike with broken brakes.. We were going down a steep hill.. and.. well, you got the picture. Fuck that nigga;0;1;;defamation
if I invited you to a party with lots of lesbians, and all we had for food was cake and cock, but there was no more cake left. Would you still come to the party? => LOLOLOLOL I know who this is.. You fag !;0;1;;insult
lol is it because Allan has a big penis ? => Uh.. I have a big penis.. you has a small penis (I think);0;1;;insult
glad to know you had the balls to introduce yourself :D => What the fudge ? I got game son;0;0;;
what's her name ? => Can't tell you ass pussy;0;1;;insult
would you date azariah => Haha she's my nigga;0;0;;
Bro. Saw u attended the WS tonight, u deserves a thumb up . Would u mind share what's the lesson about??? => Haha thanks :) .. To my understanding, it was about the distinction between God and Jesus Christ. Also, the minister emphasized on how there's only one God. Sorry if this is too vague;0;0;;
Do you know who's the girl Allan likes at SCC ? => You ask me about things he doesn't want to answer. you nigga likes everybody. You son of bitch.;0;1;;insult, defamation
What did you wish for today since its your birthday ? => I didn't wish for anything, instead I thanked God for giving me such a wonderful 20 years of life and he surrounded me with amazing ass people who I can count on.. What more can I wish for ? I can't think of anything;0;0;;
You said you think she has a boyfriend, why don't you just ask? Grow some balls => Wow wow !!! Geeezzz why are you so interested in who I like ? Man, she might think I'm desperate;0;0;;
"that anon seems hella cray lmao like calm down... => Hahaha she was a little ""excited"".. But I guess she never saw two guys who has no similarities except their heights before. Lol";0;0;;
I'm taking about you to trying to confuse the hell out of people. Gosh ! => Sorry;0;0;;
idk Dat who does he like? damn its over if you guys like the same girl haha what would you do => Why is it over?;0;0;;
damn got my hopes up HAHA => Not gonna lie.. She's cute;0;0;;
What's the difference between bromance and gay ? => Uh.. Not sure. I guess as long as we don't start talking about other dudes penises.. It won't get pass bromance ?;0;0;;
too blind to see with them chinky eyes lmao I'm kidding. well how often do you see her? does she even know your name? => Allan, I swear to God I will kill you ! This better not be Allan. That's racist. Everybody knows my name, it's Dat. I see her when I see her. How are you gonna hook us up ?;0;1;;threat
who do you like at church imma hook u up lmao => I don't think you can.. She's put of my league;0;0;;
you just called #teamiphone gay. i win again. you lose => Don't you have a research paper to worry about ? Get off my dick nigga !;0;1;;insult
wtf??! I swear that was a glitch. #teamandroid haha => You're gay #teamiPhone;0;1;;defamation, insult
oh you mean Allan? jk => She is my side bitch;0;1;;insult
It'd be funny if prisons let prisoners take their own mug shots? What do u think ? => Hahaha we should call their mugshots Cellfies lmao;0;0;;
Do you think any of your friends are gay ? Or know but don't bring it up => Allan is gay.. I always bring it up..;0;1;;defamation
nigga shut up. welcome to my life => Fuck your life.. I'll help you on your HW.. Shit.. You need the book tomorrow ?;0;1;;insult
Why is he gay? I thought he was straight.. That's sad => Hahaha I'm gay too... We're all gay;1;0;insult;
Do you think girls are perverts too ? => Hell yeah.. They are just like guys.. They hide it better;0;0;;
Allan can literally be your brother. You guys look alike => No! I look better ! He's gay;0;1;;insult
Please tell me you're gay => You're gay;1;1;insult;insult
Do you realize that we never stop tasting our own tongues ? => Ahahaha wtf ??? That's true though;0;0;;
When you looked at yourself in the mirror today, what was the first thing you thought? => Mirror mirror on the wall, God damn I look good !!!! Hahaha jk;0;0;;
I hate your friends. THey act like their good => They are fucking good.. Wait, that sounds so wrong ahahaha.. They are good people you shit, shut your ass up !;1;1;insult;insult
When was the last time you danced? => August.. I robot danced the hell out of that one song;0;0;;
Id marry the shit outta you :P => Lol  AHAHAHAHAHAHA who is this !!??;1;0;insult;
Describe your future => Imma finish college, get hired by a big co-op, have a six figure salary and live a good ass life. But the thing is.. I don't want any part of it;0;0;;
Do you consider yourself a creative person? => Hell yeah;0;0;;
I think you're a bit gay tbh => Everybody is;1;0;insult, defamation;
If you were an activist what would want to protest against? => you Bitch ass niggas;0;1;insult;
What's your number one rule in life? => Lie if you had to, but own up to it if you get caught. Don't be a bitch;0;0;;
If you could be invisible for one hour, where would you go and what you would you do? => I'll run around butt naked for an hour and that will be the best secret I'll ever have.. I'd tell my kids about it hahahaha;0;0;;
How do you handle stress??? OR stress handle's you??? => It depends. Stress definitely handles me a lot of the time but if I try my best to ignore it and keep myself busy, usually I end up forgetting about it like I do everything else lmao;0;0;;
What's your favourite social media ? => Ughhhh idkkkkkk ... probably facebook honestly! I never post my own stuff though. Its always just memes and funny videos... or videos about food because its food lmao;0;0;;
is there anyone that you want back in your life? => Hell yeah;0;0;;
Wanna be my girlfriend ,friend => i am gay so no;0;0;;
So like sex or kissing? => that's privileged information;0;0;;
Would you want a summer relationship... or would you rather wait till you go to Maryland and fuck all da bitches? => why wait? id love to spend my last summer in florida with someone great;0;0;;
you like boys yet you would never give head to a boy and you don't even like sex with them??????? you're obviously lesbian accept it => i like who i like;1;0;defamation;
At what point is it considered lesbian sex? => whenever two girls have sex;0;0;;
Did u and steven fuck => stoppp;1;0;defamation;
Can I give you a haircut? => wtf nO;0;0;;
When was the last time you screamed? => today when someone slapped my butt;0;0;;
If you could say something to your younger self, what would you say? => Move your ass and do stuff;0;0;;
Did you poop today or not yet => Yes ;0;0;;
If you could replace anything from your body,what would it be? => My legs and butt;0;0;;
What makes you nervous? => People who talk too much not knowing shit :);0;0;;
Are you a shopaholic? => Hell yea;0;0;;
What to do, if I want to work? ? => Get your ass off the couch;0;0;;
Why are some men thin, and others fat, although they eat the same pasta? => There are many lucky pieces of shit in the world lol;0;0;;
If you had an ability to look into other's past, who would be the first one on which you will use your power? => Keep that shit dormant, its rude to pry;0;0;;
How will u feel to talk to a person, you don't even know the name ? => Id be okay with it as long as they dont show signs of being a dick;0;0;;
What gift would you like to receive? From who? => Well I asked someone for regular mens T-shirts but they are so unaccepting that they got me a goddamn designer womens bag that was far more expensive, those assholes. Im getting tired of it, maybe they could get me at least one decent T-shirt.;0;0;;
Who do you trust the most? => I dont trust a damn soul, who do you think I am?;0;0;;
Which three things would you take to a deserted island? => Me. Id starve and die no doubts about it. Maybe a phone and a WiFi device that somehow works;0;0;;
What is at the same time funny and sad? => I cant feel a damn thing;0;0;;
If your clothes all had a personality, which do you think would like you the least? => My long sleeve dark gray shirt, he is the shit;0;1;;insult
Di you are really an inspiration to me i would really like to meet you and spend some time with you i adore you a lot ?you are damn pretty ? => Well thanks and nice use of question marks lol. Also I dont know about the whole meeting thing. I dont go out much and my mom would bug me about it. But thanks anyways, frendo.;0;0;;
Who you going on a date with? => No one, not for a while until her parents stop being little bitches;0;1;;defamation
Are you living your dream ? => Hell no;0;0;;
You have an opportunity to make one person absolutely happy, but not yourself. Who => My significant other, if I used it on my mom it would go to waste because she refuses to let herself appear happy in order to guilt everyone into doing shit for her;0;0;;
Where do the happiest people live? => Hell if I know;0;0;;
Anyone else having a really shitty day? :( => Im always having a shitty day;0;0;;
What gives you immense pleasure? => When someone addresses me as male without me even telling them, unlike some peoples leg who aggressively misgender me even though Ive told them time and time again. I dontind if you dont know, but if Ive told you a thousand times and you PURPOSELY misgender me, I might slap a bitch some day.;0;0;;
What should a woman be like? ? => Whatever the heck they wanna be, other than an asshole or feminazi. Its okay to be a feminist, just dont be a nazi about it;0;0;;
heyyy guys im rly happy its summer bc school makes me wanna die => Same;0;0;;
What does true friendship mean to you? => They dont care about you having no problems, theyre just there to laugh with you and talk shit about your enemies with you :);0;0;;
What is one thing you will never do again? => Tell anyone in my family the truth about myself in any way, since they always seem to take it as if I am the devil and/or need to suck it up;0;0;;
Who's gay ? u  => Just about ;1;0;defamation;
Who was your hero in childhood? Why? => My biggest hero was and is still Brendon Urie. This is simply because his vocal range is to die for and hes extremely accepting and protective of anyone not being accepted. Honestly, he is one of the best people on this earth. And yes I know he smokes weed, but thats exactly like drinking without the addiction or bodily harm so it doesnt sway my opinion. (It does kind of smell though);0;0;;
What was the last thing made you feel sick? => Literally sick? Coffee. Sick of humanity or disgusted? Family talking shit about everyone not Christian, straight, or cis.;0;0;;
Do you think that tickling could be used to punish teens? => Hell yeah it could, unless they arent ticklish;0;0;;
Why do drivers violate the traffic rules?  => Because they suck ;0;0;;
If you jumped into a black hole, would you come out as a pancake or as a pink rabbit? => Technically, you wouldnt come out at all. Its quite amazing but when one falls in to a black hole, everything but whats in that hole seems slow due to you moving unhealthily fast into the black hole. They could be about to blink as you disappear and youd see it all. Of course, youd die shortly after witnessing it because youre being sucked into a black whole. That kills people, yknow ;0;0;;
What is the most important thing in life? => The most important thing in life for me is... well heck I dont know. I dont find meaning in a lot of things these days. Id die for anyone I know but thats probably just because I really just want to, not for heroic purposes.;0;0;;
are you gay cuz you look it => Tf;1;0;insult, defamation;
Is that okay when a girlfriend hugging her male friends?What do you think? => Yeah? I hug my male friends all the damn time and my boyfriend has no issue with it. Same with my friend's boyfriend. It's only the jealous types that get upset when their girlfriend hugs her male friends.;0;0;;
Do you believe in karma? => Hell yes. My bully has what's coming to her.;0;0;;
Do you keep your room clean or messy? => Well it's messy right now (but that's because I've been too lazy and sore to get off my ass and clean it XD);0;0;;
Nuu don't say that Rainbow-san ): => Mubi-sannnnnnn I said that because I was feeling like shit but I'm okay now.;0;0;;
Do you treat your body like a Temple or more like an Amusement Park? => da fuck does that even mean? OAO;0;0;;
crying because you're so damn sweet. =>  love youuuu~ <3333;0;0;;
How are you feeling right now? => Hm kinda shitty actually. Today was a bad day.;0;0;;
What was the last book you read? => Uhhhhhhhhh....... I had to read Cold Mountain for school and it was boring.... omg;0;0;;
Do you like high heels? => OMG hell no.... I am a tomboy plz.... sneakers and tennis shoes... NEVER girly shoes unless it's absolutely REQUIRED as a dress code -sobs- .... even then I wear flats.... >A>;0;0;;
What do you like to see in a good leader? => I like to see a good leader actually take charge instead of forcing his/her jobs on the 2nd in commands or lower ranked people. In chorus groups on YT, a lot of the leaders never check the project auditions or reply to PMs. This is why a lot of the groups die out before their first song ever shows up. I've had a couple of groups do that to me and others! ^ ^'' So I think a good leader doesn't let their group die and if someone is holding the group back, the leader should pull them aside and help the person. Sorry if my answer is unclear. I am pretty bad at getting a point across! ^ ^'';0;0;;
What words of wisdom would you want to pass on to me? => Umm..... don't be a potato.... be the best goddamn tomato you can ever be? ;0;0;;
Do you like butt sex? => O_O;1;0;sexual;
